鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中正區,房地(土地+建物),臺北市中正區汀州路三段211~240號,6.01,商,,,1080630,土地2建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701119,32.11,1,1,1,有,有,7490000,233261,,0.0,0,含增建或未登記建物。;,RPOOMLMJQHOFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段96巷1~30號,36.94,住,,,1080621,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070105,174.2,0,0,0,無,有,31100000,192007,升降機械,20.56,1600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUOMLMJQHOFFAA18CA
中正區,房地(土地+建物),臺北市中正區中華路二段75巷1~30號,38.04,住,,,1080618,土地2建物1車位0,五層，陽台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650713,135.36,3,2,3,有,無,17600000,130024,,0.0,0,,RPQNMLQJQHOFFAA08CA
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段1~30號,22.86,住,,,1080702,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970508,137.26,2,2,2,有,有,14500000,105639,坡道平面,40.16,0,,RPQOMLQJQHOFFAA18CA
文山區,房地(土地+建物),臺北市文山區興隆路一段184巷2弄1~30號,32.75,住,,,1080619,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620105,100.31,3,2,1,有,無,11850000,118134,,0.0,0,含增建或未登記建物。;,RPTOMLQJQHOFFAA48CA
文山區,房地(土地+建物),臺北市文山區木柵路二段1~30號,66.0,住,,,1080626,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0560310,109.8,5,3,3,有,無,32000000,291439,,0.0,0,含增建或未登記建物。;,RPROMLSJQHOFFAA48CA
中正區,房地(土地+建物)+車位,臺北市中正區?m門街121~150號,6.85,商,,,1080711,土地1建物1車位1,八層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1070816,73.22999999999999,1,1,1,有,有,13700000,183846,升降機械,6.87,1500000,,RPSNMLMKQHOFFAA97CA
文山區,房地(土地+建物),臺北市文山區新光路一段32巷1~30號,28.8,住,,,1080703,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690124,99.79,3,1,1,有,無,11000000,110231,,0.0,0,,RPSPMLNKQHOFFAA28CA
文山區,房地(土地+建物),臺北市文山區羅斯福路六段91~120號,23.47,商,,,1080612,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711130,146.86,3,2,2,有,有,15800000,107585,,0.0,0,親友、員工或其他特殊關係間之交易。;頂樓增建1房1廳1衛,RPUOMLQKQHOFFAA68CA
中正區,房地(土地+建物),臺北市中正區南昌路二段61~90號,5.45,商,,,1060929,土地2建物1車位0,六層,十四層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1080124,60.839999999999996,1,1,1,有,無,18150000,298323,,0.0,0,,RPUNMLNLQHOFFAA38CA
中正區,房地(土地+建物)+車位,臺北市中正區南昌路二段61~90號,5.18,商,,,1060929,土地2建物1車位1,六層,十四層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1080124,96.78,1,1,1,有,無,19920000,307031,其他,38.61,2060000,,RPVNMLNLQHOFFAA48CA
文山區,房地(土地+建物),臺北市文山區興隆路三段112巷2弄31~60號,20.69,商,,,1080614,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690201,155.06,5,2,4,有,有,17550000,113182,,0.0,0,含增建或未登記建物。;,RPWOMLQLQHOFFAA98CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路四段151~180號,23.72,商,,,1080603,土地2建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031031,280.36,3,2,3,有,有,69000000,246112,塔式車位,0.0,0,,RPSNMLSLQHOFFAA68CA
