鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
南區,土地,頂橋子頭段241~270地號,31.66,住,,,1080716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLMJQHOFFAB18CA
東區,房地(土地+建物)+車位,臺中市東區東光園路64巷61~90號,212.07,住,,,1080616,土地6建物1車位2,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0841018,326.24,5,2,4,有,有,17680000,54193,坡道平面,0.0,0,,RPUPMLMJQHOFFAB38CA
南區,房地(土地+建物),臺中市南區復興路一段207巷31~60號,17.19,住,,,1080616,土地5建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851004,87.72,3,2,2,有,有,5200000,59280,,0.0,0,,RPQRMLPJQHOFFAB48CA
南區,房地(土地+建物),臺中市南區信義南街181~210號,5.68,住,,,1080506,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840601,79.1,2,1,1,有,有,3820000,48293,,0.0,0,,RPVNMLQJQHOFFAB68CA
西區,房地(土地+建物),臺中市西區中華路一段1~30號,2.6,商,,,1080718,土地1建物1車位0,二十層,二十二層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0850119,42.41,1,1,1,有,有,1680000,39613,,0.0,0,,RPTNMLRJQHOFFAB58CA
南區,房地(土地+建物),臺中市南區建成路1201~1230號,21.0,商,,,1080618,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740615,92.68,3,2,2,有,無,4200000,45317,,0.0,0,,RPUNMLRJQHOFFAB68CA
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段241~270號,16.13,商,,,1080620,土地1建物1車位1,十四層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070910,181.87,3,2,2,有,有,18700000,112537,坡道平面,29.92,1600000,,RPQOMLRJQHOFFAB38CA
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段241~270號,18.0,商,,,1080620,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070910,203.14,3,2,3,有,有,20900000,111996,坡道平面,29.92,1500000,,RPROMLRJQHOFFAB48CA
南區,房地(土地+建物),臺中市南區南和路181~210號,12.35,住,,,1080704,土地1建物1車位0,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820519,137.81,3,2,2,有,有,6200000,44989,,0.0,0,,RPVOMLRJQHOFFAB88CA
