鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區昌盛路1~30號,10.28,商,,,1080716,土地1建物1車位0,十七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841106,111.89000000000001,3,2,2,有,有,5560000,49692,,0.0,0,,RPQNMLOJQHOFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水里美術南一街61~90號,24.64,住,,,1080510,土地1建物1車位1,七層,二十一層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1080130,254.39,4,2,2,有,有,16600000,68315,坡道平面,35.99,1680000,,RPQNMLQJQHOFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水里美術南二路211~240號,32.65,住,,,1080703,土地1建物1車位2,十層,二十一層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1080130,336.64,4,2,2,有,有,21380000,67598,坡道平面,78.94,3960000,,RPSNMLQJQHOFFAE68CA
前金區,房地(土地+建物)+車位,高雄市前金區青山里大同一路271~300號,7.06,商,,,1080705,土地1建物1車位1,十六層,二十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070904,152.01999999999998,3,1,1,有,有,10720000,70517,坡道平面,46.17,0,,RPROMLPJQHOFFAE58CA
鹽埕區,房地(土地+建物),高雄市鹽埕區府北路1~30號,3.32,商,,,1080716,土地1建物1車位0,六層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0691117,36.99,1,0,1,有,無,800000,21627,,0.0,0,,RPROMLQJQHOFFAE68CA
鹽埕區,土地,興福段1~30地號,25.86,商,,,1080709,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,116009,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLTJQHOFFAE76CA
鼓山區,房地(土地+建物),高雄市鼓山區九如四路2016巷1~30號,26.84,住,,,1080617,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760109,116.17,4,2,2,有,有,3750000,32280,,0.0,0,含頂樓加蓋增建部分,RPOOMLPKQHOFFAE38CA
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路451~480號,6.09,商,,,1080706,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980325,63.09,2,1,1,有,有,3700000,58646,,0.0,0,,RPXOMLTKQHOFFAE07CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南五街181~210號,12.16,住,,,1080607,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040409,116.55,2,2,1,有,有,9800000,84084,升降機械,0.0,0,含裝潢,RPVOMLKLQHOFFAE68CA
