鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
板橋區,房地(土地+建物),新北市板橋區觀光街1~30號,54.6,住,,,1080703,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680827,99.96,3,2,2,有,無,9300000,93037,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRQMLLJQHOFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,10.17,住,,,1080616,土地2建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,119.60000000000001,2,2,1,有,無,18300000,167476,坡道平面,22.87,2100000,本案尚未成立管理委員會.,RPRRMLLJQHOFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,10.17,住,,,1080616,土地2建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,119.60000000000001,2,2,1,有,無,17680000,161067,坡道平面,22.87,2100000,本案尚未成立管理委員會.,RPTRMLLJQHOFFAF78CA
土城區,房地(土地+建物),新北市土城區青雲路181~210號,19.84,商,,,1080623,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791106,159.48999999999998,3,2,2,有,無,12800000,80256,,0.0,0,含增建或未登記建物。,RPPNMLMJQHOFFAF08CA
土城區,房地(土地+建物),新北市土城區裕民路136巷2弄1~30號,27.08,住,,,1080622,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741016,94.15,3,2,1,有,無,7880000,83696,,0.0,0,,RPQPMLMJQHOFFAF38CA
土城區,土地,明德段211~240地號,56.19,住,,,1080710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15300000,272290,,0.0,0,,RPURMLMJQHOFFAF98CA
板橋區,房地(土地+建物),新北市板橋區溪崑二街112巷33弄1~30號,32.94,住,,,1080619,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761113,112.38,3,2,2,有,無,9250000,82310,,0.0,0,陽台外推,RPUWMLMJQHOFFAF86CA
土城區,房地(土地+建物),新北市土城區慶安街1~30號,8.53,商,,,1060624,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080614,67.06,2,1,1,有,有,9100000,135699,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPPRMLPJQHOFFAF78CA
土城區,房地(土地+建物),新北市土城區慶安街1~30號,8.53,商,,,1070420,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080614,67.06,2,1,1,有,有,8300000,123770,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPQRMLPJQHOFFAF88CA
