鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
桃園區,房地(土地+建物),桃園市桃園區龍祥街31~60號,9.95,住,,,1080623,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830615,64.99,2,2,1,有,有,3960000,60932,,0.0,0,,RPXOMLLJQHOFFAH09CA
桃園區,車位,桃園市桃園區大連四街1~30號,0.28,住,,,1080723,土地0建物0車位2,一層,九層,其他,見其他登記事項,鋼筋混凝土造,0940825,56.42,0,0,0,有,有,1050000,,坡道平面,0.0,1050000,,RPUNMLMJQHOFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國信街91~120號,13.34,住,,,1080722,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950920,89.34,4,2,2,有,有,5000000,55966,坡道平面,17.33,0,親友、員工或其他特殊關係間之交易。;,RPWNMLMJQHOFFAH98CA
桃園區,土地,埔子段埔子小段2041~2070地號,22.0,住,,,1080720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1450000,65909,,0.0,0,,RPRPMLMJQHOFFAH68CA
桃園區,房地(土地+建物),桃園市桃園區中正路361~390號,2.53,其他,,,1080719,土地2建物1車位0,十四層,十五層,套房(1房1廳1衛),住家用,見其他登記事項,0840926,37.65,1,1,1,有,有,1900000,50465,,0.0,0,,RPUSMLMJQHOFFAH66CA
桃園區,房地(土地+建物),桃園市桃園區力行路1~30號,12.61,商,,,1080713,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0800430,153.14999999999998,3,0,3,有,有,6660000,43487,,0.0,0,隔間套房,RPXTMLMJQHOFFAH07CA
桃園區,房地(土地+建物),桃園市桃園區大業路一段421~450號,26.32,住,,,1080706,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821018,122.43,4,2,2,有,有,6350000,51866,,0.0,0,,RPUTMLPJQHOFFAH07CA
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路385巷91~120號,20.57,住,,,1080704,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070515,129.96,2,2,1,有,有,7700000,74161,坡道平面,45.01,1400000,,RPPVMLPJQHOFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路181~210號,24.98,住,,,1080705,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080605,164.53,3,2,2,有,有,12400000,84672,坡道平面,37.57,1650000,,RPQQMLRJQHOFFAH56CA
