鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路四段151~180號,23.72,商,,,1080603,土地2建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031031,280.36,3,2,3,有,有,69000000,246112,塔式車位,0.0,0,,RPSNMLSLQHOFFAA68CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段331~360號,27.57,住,,,1080723,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031023,181.86,3,2,2,有,有,29508888,162253,坡道平面,0.0,0,向政府機關承購之案件。;,RPQRMLLJQHOFFCA18CA
中山區,房地(土地+建物)+車位,臺北市中山區長春路181~210號,20.09,商,,,1080623,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990324,222.32,3,2,2,有,有,58000000,260885,坡道平面,18.23,0,含增建或未登記建物。;,RPROMLMJQHOFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區內湖路二段103巷119弄1~30號,15.98,住,,,1080710,土地2建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720331,127.28999999999999,3,2,2,有,有,16000000,125697,,0.0,0,,RPXRMLQKQHOFFCA86CA
北投區,房地(土地+建物)+車位,臺北市北投區光明路241~270號,13.57,其他,,,1080603,土地1建物1車位1,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980818,131.7,2,1,1,有,有,17000000,129081,坡道平面,40.07,0,陽台外推,RPPOMLLJQHOFFEA97CA
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段331~360號,41.52,住,,,1080626,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970627,244.89,4,2,2,有,有,36100000,164713,坡道機械,42.72,2800000,含增建或未登記建物。,RPQNMLNJQHOFFAA87DA
中山區,房地(土地+建物)+車位,臺北市中山區北安路458巷47弄1~30號,32.85,住,,,1080611,土地2建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921209,259.98,6,2,2,有,有,52000000,220962,坡道平面,35.96,2500000,含增建或未登記建物。,RPQRMLMJQHOFFCA38DA
中山區,房地(土地+建物),臺北市中山區明水路511~540號,17.13,住,,,1080506,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821222,89.46000000000001,2,2,1,有,有,22000000,245920,,0.0,0,含增建或未登記建物。,RPQNMLNJQHOFFCA08DA
信義區,房地(土地+建物),臺北市信義區松德路25巷1~30號,12.65,住,,,1080625,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740620,111.87,3,2,2,有,有,23000000,205577,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPROMLLJQHOFFDA18DA
中山區,房地(土地+建物),臺北市中山區長安東路二段151~180號,6.94,商,,,1080605,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050411,81.85,4,2,1,有,有,24760000,302505,,0.0,0,,RPVSMLQJQHOFFCA76DA
信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷121~150號,35.88,住,,,1080627,土地1建物1車位2,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990122,235.45,3,2,2,有,無,41000000,174135,坡道機械,39.24,0,,RPORMLQJQHOFFDA58CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.68,商,,,1080711,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,49.72,1,1,1,有,有,8450000,169952,,0.0,0,含增建或未登記建物。;,RPUNMLPJQHOFFBA48CA
文山區,房地(土地+建物)+車位,臺北市文山區木柵路二段109巷100弄61~90號,73.51,住,,,1080614,土地2建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,123.11,3,2,2,有,有,13800000,112095,坡道機械,13.67,0,含增建或未登記建物。;,RPUNMLRJQHOFFAA58CA
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路六段21巷31~60號,136.9,住,,,1080622,土地8建物2車位1,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880809,345.03999999999996,0,0,0,無,有,45000000,130420,坡道平面,34.99,0,,RPTNMLTKQHOFFAA78CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,13.08,住,,,1080629,土地1建物1車位1,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,112.88,2,1,1,有,有,19430000,172130,坡道平面,32.36,0,,RPUOMLQJQHOFFCA78CA
